Gemnr;Gemeente;Aantal;BevAant;GemiddeldOverBev
518;'s-Gravenhage;14;537833;2.6
796;'s-Hertogenbosch;20;154205;13
1680;Aa en Hunze;0;25386;0
358;Aalsmeer;3;31728;9.5
197;Aalten;0;27011;0
59;Achtkarspelen;0;27852;0
482;Alblasserdam;0;20069;0
613;Albrandswaard;2;25271;7.9
361;Alkmaar;2;108558;1.8
141;Almelo;1;72849;1.4
34;Almere;3;207904;1.4
484;Alphen aan den Rijn;6;110986;5.4
1723;Alphen-Chaam;2;10149;19.7
1959;Altena;12;55386;21.7
60;Ameland;0;3673;0
307;Amersfoort;18;156286;11.5
362;Amstelveen;4;90838;4.4
363;Amsterdam;39;862965;4.5
200;Apeldoorn;7;162445;4.3
3;Appingedam;0;11721;0
202;Arnhem;7;159265;4.4
106;Assen;0;67963;0
743;Asten;1;16710;6
744;Baarle-Nassau;0;6847;0
308;Baarn;0;24767;0
489;Barendrecht;3;48673;6.2
203;Barneveld;3;57971;5.2
888;Beek;3;15929;18.8
1954;Beekdaelen;13;35727;36.4
370;Beemster;0;9748;0
889;Beesel;0;13519;0
1945;Berg en Dal;10;34798;28.7
1724;Bergeijk;1;18491;5.4
893;Bergen (L);0;13140;0
373;Bergen (NH);1;29974;3.3
748;Bergen op Zoom;4;66811;6
1859;Berkelland;0;43904;0
1721;Bernheze;19;30806;61.7
753;Best;4;29821;13.4
209;Beuningen;5;25882;19.3
375;Beverwijk;5;41176;12.1
1728;Bladel;1;20175;5
376;Blaricum;1;11202;8.9
377;Bloemendaal;1;23410;4.3
1901;Bodegraven-Reeuwijk;1;34462;2.9
755;Boekel;14;10588;132.2
1681;Borger-Odoorn;0;25372;0
147;Borne;3;23210;12.9
654;Borsele;2;22800;8.8
756;Boxmeer;1;29065;3.4
757;Boxtel;3;30747;9.8
758;Breda;86;183873;46.8
501;Brielle;0;17182;0
1876;Bronckhorst;2;36212;5.5
213;Brummen;0;20698;0
899;Brunssum;0;28103;0
312;Bunnik;0;15192;0
313;Bunschoten;0;21576;0
214;Buren;4;26568;15.1
502;Capelle aan den IJssel;0;66818;0
383;Castricum;5;35772;14
109;Coevorden;11;35483;31
1706;Cranendonck;2;20440;9.8
1684;Cuijk;2;24931;8
216;Culemborg;2;28555;7
148;Dalfsen;1;28499;3.5
1891;Dantumadiel;0;18923;0
310;De Bilt;13;42824;30.4
1940;De Fryske Marren;3;51430;5.8
736;De Ronde Venen;2;44059;4.5
1690;De Wolden;1;24110;4.1
503;Delft;2;103163;1.9
10;Delfzijl;0;24716;0
400;Den Helder;1;55604;1.8
762;Deurne;5;32362;15.5
150;Deventer;2;99957;2
384;Diemen;2;29196;6.9
1774;Dinkelland;5;26350;19
221;Doesburg;1;11148;9
222;Doetinchem;0;57555;0
766;Dongen;5;26051;19.2
505;Dordrecht;1;118654;0.8
498;Drechterland;0;19597;0
1719;Drimmelen;7;27150;25.8
303;Dronten;7;40815;17.2
225;Druten;5;18797;26.6
226;Duiven;1;25332;3.9
1711;Echt-Susteren;0;31638;0
385;Edam-Volendam;0;36099;0
228;Ede;2;115710;1.7
317;Eemnes;0;9113;0
770;Eersel;2;19110;10.5
1903;Eijsden-Margraten;4;25658;15.6
772;Eindhoven;21;231642;9.1
230;Elburg;1;23086;4.3
114;Emmen;1;107113;0.9
388;Enkhuizen;1;18507;5.4
153;Enschede;3;158986;1.9
232;Epe;2;33145;6
233;Ermelo;8;26858;29.8
777;Etten-Leur;10;43774;22.8
779;Geertruidenberg;3;21515;13.9
1771;Geldrop-Mierlo;3;39595;7.6
1652;Gemert-Bakel;20;30447;65.7
907;Gennep;1;17071;5.9
784;Gilze en Rijen;1;26431;3.8
1924;Goeree-Overflakkee;4;49611;8.1
664;Goes;2;37653;5.3
785;Goirle;9;23793;37.8
1942;Gooise Meren;4;57715;6.9
512;Gorinchem;0;36682;0
513;Gouda;4;73181;5.5
786;Grave;0;12483;0
14;Groningen;7;231299;3
1729;Gulpen-Wittem;2;14246;14
158;Haaksbergen;1;24277;4.1
788;Haaren;7;14195;49.3
392;Haarlem;6;161265;3.7
394;Haarlemmermeer;2;154235;1.3
1655;Halderberge;2;30194;6.6
160;Hardenberg;0;60574;0
243;Harderwijk;4;47581;8.4
523;Hardinxveld-Giessendam;5;18051;27.7
72;Harlingen;1;15758;6.3
244;Hattem;0;12173;0
396;Heemskerk;2;39164;5.1
397;Heemstede;5;27286;18.3
246;Heerde;2;18546;10.8
74;Heerenveen;0;50257;0
398;Heerhugowaard;1;56742;1.8
917;Heerlen;6;86832;6.9
1658;Heeze-Leende;2;15964;12.5
399;Heiloo;3;23464;12.8
163;Hellendoorn;2;35808;5.6
530;Hellevoetsluis;1;40049;2.5
794;Helmond;17;91524;18.6
531;Hendrik-Ido-Ambacht;0;30966;0
164;Hengelo (O);3;80683;3.7
1966;Het Hogeland;0;47888;0
252;Heumen;2;16486;12.1
797;Heusden;4;44135;9.1
534;Hillegom;0;21966;0
798;Hilvarenbeek;4;15334;26.1
402;Hilversum;1;90238;1.1
1963;Hoeksche Waard;4;86656;4.6
1735;Hof van Twente;1;34940;2.9
1911;Hollands Kroon;0;47815;0
118;Hoogeveen;2;55662;3.6
405;Hoorn;1;73004;1.4
1507;Horst aan de Maas;5;42291;11.8
321;Houten;13;49911;26
406;Huizen;1;41273;2.4
677;Hulst;0;27524;0
353;IJsselstein;4;34160;11.7
1884;Kaag en Braassem;0;26866;0
166;Kampen;0;53779;0
678;Kapelle;0;12785;0
537;Katwijk;1;65302;1.5
928;Kerkrade;2;45642;4.4
1598;Koggenland;1;22738;4.4
542;Krimpen aan den IJssel;1;29376;3.4
1931;Krimpenerwaard;4;56048;7.1
1659;Laarbeek;1;22333;4.5
1685;Landerd;10;15529;64.4
882;Landgraaf;4;37591;10.6
415;Landsmeer;3;11488;26.1
416;Langedijk;4;27992;14.3
1621;Lansingerland;5;61601;8.1
417;Laren;0;11195;0
80;Leeuwarden;2;123107;1.6
546;Leiden;8;124899;6.4
547;Leiderdorp;1;27109;3.7
1916;Leidschendam-Voorburg;4;75425;5.3
995;Lelystad;8;77893;10.3
1640;Leudal;7;35681;19.6
327;Leusden;1;30030;3.3
1705;Lingewaard;3;46475;6.5
553;Lisse;0;22800;0
262;Lochem;0;33590;0
809;Loon op Zand;7;23327;30
331;Lopik;1;14473;6.9
24;Loppersum;0;9614;0
168;Losser;0;22622;0
263;Maasdriel;0;24693;0
1641;Maasgouw;2;23716;8.4
556;Maassluis;1;32768;3.1
935;Maastricht;24;121565;19.7
420;Medemblik;0;44809;0
938;Meerssen;1;18923;5.3
1948;Meierijstad;42;80815;52
119;Meppel;0;33564;0
687;Middelburg;1;48544;2.1
1842;Midden-Delfland;0;19391;0
1731;Midden-Drenthe;0;33178;0
1952;Midden-Groningen;1;60899;1.6
815;Mill en Sint Hubert;1;10891;9.2
1709;Moerdijk;1;36961;2.7
1978;Molenlanden;2;43858;4.6
1955;Montferland;0;36026;0
335;Montfoort;0;13996;0
944;Mook en Middelaar;0;7806;0
1740;Neder-Betuwe;4;24034;16.6
946;Nederweert;3;17001;17.6
356;Nieuwegein;1;63036;1.6
569;Nieuwkoop;1;28628;3.5
267;Nijkerk;1;42943;2.3
268;Nijmegen;17;176731;9.6
1930;Nissewaard;1;84797;1.2
1970;Noardeast-Fryslân;0;45181;0
1695;Noord-Beveland;1;7308;13.7
1699;Noordenveld;1;31290;3.2
171;Noordoostpolder;2;46849;4.3
575;Noordwijk;2;42859;4.7
820;Nuenen Gerwen en Nederwetten;1;23186;4.3
302;Nunspeet;2;27481;7.3
579;Oegstgeest;4;24426;16.4
823;Oirschot;1;18623;5.4
824;Oisterwijk;9;26140;34.4
1895;Oldambt;0;38129;0
269;Oldebroek;2;23598;8.5
173;Oldenzaal;1;31840;3.1
1773;Olst-Wijhe;0;18071;0
175;Ommen;1;17813;5.6
1586;Oost Gelre;0;29704;0
826;Oosterhout;6;55616;10.8
85;Ooststellingwerf;0;25497;0
431;Oostzaan;0;9757;0
432;Opmeer;0;11779;0
86;Opsterland;2;29723;6.7
828;Oss;11;91451;12
1509;Oude IJsselstreek;1;39473;2.5
437;Ouder-Amstel;0;13916;0
589;Oudewater;1;10201;9.8
1734;Overbetuwe;8;47543;16.8
590;Papendrecht;0;32290;0
1894;Peel en Maas;19;43311;43.9
765;Pekela;1;12214;8.2
1926;Pijnacker-Nootdorp;8;54331;14.7
439;Purmerend;2;80117;2.5
273;Putten;2;24198;8.3
177;Raalte;2;37511;5.3
703;Reimerswaal;2;22678;8.8
274;Renkum;8;31302;25.6
339;Renswoude;0;5259;0
1667;Reusel-De Mierden;0;13060;0
275;Rheden;1;43640;2.3
340;Rhenen;1;20004;5
597;Ridderkerk;1;46241;2.2
1742;Rijssen-Holten;0;38300;0
603;Rijswijk;1;53467;1.9
1669;Roerdalen;0;20615;0
957;Roermond;2;58209;3.4
1674;Roosendaal;6;77032;7.8
599;Rotterdam;30;644618;4.7
277;Rozendaal;1;1654;60.5
840;Rucphen;1;22572;4.4
441;Schagen;4;46553;8.6
279;Scherpenzeel;0;9873;0
606;Schiedam;1;77999;1.3
88;Schiermonnikoog;0;936;0
1676;Schouwen-Duiveland;2;33779;5.9
965;Simpelveld;3;10516;28.5
1702;Sint Anthonis;3;11606;25.8
845;Sint-Michielsgestel;8;28991;27.6
1883;Sittard-Geleen;38;92661;41
610;Sliedrecht;0;25026;0
1714;Sluis;2;23386;8.6
90;Smallingerland;3;55938;5.4
342;Soest;10;46194;21.6
847;Someren;1;19322;5.2
848;Son en Breugel;4;16904;23.7
37;Stadskanaal;0;31789;0
180;Staphorst;1;17003;5.9
532;Stede Broec;1;21706;4.6
851;Steenbergen;2;25054;8
1708;Steenwijkerland;0;43940;0
971;Stein;3;24961;12
1904;Stichtse Vecht;7;64336;10.9
1900;Súdwest-Fryslân;1;89710;1.1
715;Terneuzen;1;54589;1.8
93;Terschelling;0;4890;0
448;Texel;0;13547;0
1525;Teylingen;1;37061;2.7
716;Tholen;1;25780;3.9
281;Tiel;4;41978;9.5
855;Tilburg;84;217259;38.7
183;Tubbergen;1;21276;4.7
1700;Twenterand;0;33792;0
1730;Tynaarlo;0;33698;0
737;Tytsjerksteradiel;1;31780;3.1
856;Uden;43;41782;102.9
450;Uitgeest;0;13528;0
451;Uithoorn;0;29424;0
184;Urk;0;20776;0
344;Utrecht;48;352866;13.6
1581;Utrechtse Heuvelrug;3;49515;6.1
981;Vaals;0;10092;0
994;Valkenburg aan de Geul;1;16470;6.1
858;Valkenswaard;0;30910;0
47;Veendam;0;27491;0
345;Veenendaal;1;65589;1.5
717;Veere;1;21835;4.6
861;Veldhoven;1;45337;2.2
453;Velsen;4;68348;5.9
983;Venlo;6;101603;5.9
984;Venray;0;43326;0
1961;Vijfheerenlanden;3;55712;5.4
622;Vlaardingen;1;72404;1.4
96;Vlieland;0;1138;0
718;Vlissingen;3;44371;6.8
986;Voerendaal;0;12452;0
626;Voorschoten;0;25479;0
285;Voorst;1;24417;4.1
865;Vught;3;26396;11.4
1949;Waadhoeke;0;46039;0
866;Waalre;1;17247;5.8
867;Waalwijk;10;48240;20.7
627;Waddinxveen;1;28316;3.5
289;Wageningen;0;38774;0
629;Wassenaar;3;26211;11.4
852;Waterland;3;17315;17.3
988;Weert;0;49842;0
457;Weesp;0;19334;0
1960;West Betuwe;3;50697;5.9
668;West Maas en Waal;3;19076;15.7
1969;Westerkwartier;1;63031;1.6
1701;Westerveld;0;19348;0
293;Westervoort;0;14944;0
1950;Westerwolde;0;25199;0
1783;Westland;1;108603;0.9
98;Weststellingwerf;0;25840;0
614;Westvoorne;3;14626;20.5
189;Wierden;0;24351;0
296;Wijchen;5;40951;12.2
1696;Wijdemeren;0;24013;0
352;Wijk bij Duurstede;3;23762;12.6
294;Winterswijk;0;28903;0
873;Woensdrecht;0;21866;0
632;Woerden;2;52197;3.8
880;Wormerland;0;16329;0
351;Woudenberg;1;13166;7.6
479;Zaanstad;2;155885;1.3
297;Zaltbommel;1;28451;3.5
473;Zandvoort;1;17011;5.9
50;Zeewolde;2;22309;9
355;Zeist;8;63934;12.5
299;Zevenaar;0;43488;0
637;Zoetermeer;1;124944;0.8
638;Zoeterwoude;0;8450;0
1892;Zuidplas;0;42762;0
879;Zundert;3;21612;13.9
301;Zutphen;0;47609;0
1896;Zwartewaterland;2;22503;8.9
642;Zwijndrecht;3;44639;6.7
193;Zwolle;6;127497;4.7